instance_id,filename,rel_path,motif_name,motif_folder,all_motifs_dir,origin_images,Source Workshop,year_collected,image_type,image_resolution,color_profile,annotator_initials
3,GunungRinggit_00004.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00004.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
4,GunungRinggit_00005.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00005.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
7,GunungRinggit_00008.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00008.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
11,GunungRinggit_00012.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00012.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
12,GunungRinggit_00013.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00013.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
13,GunungRinggit_00014.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00014.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
15,GunungRinggit_00016.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00016.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
16,GunungRinggit_00017.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00017.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
17,GunungRinggit_00018.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00018.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
20,GunungRinggit_00021.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00021.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
21,GunungRinggit_00022.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00022.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
26,GunungRinggit_00027.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00027.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
