instance_id,filename,rel_path,motif_name,motif_folder,all_motifs_dir,origin_images,Source Workshop,year_collected,image_type,image_resolution,color_profile,annotator_initials
0,GunungRinggit_00001.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00001.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
1,GunungRinggit_00002.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00002.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
2,GunungRinggit_00003.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00003.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
3,GunungRinggit_00004.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00004.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
4,GunungRinggit_00005.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00005.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
5,GunungRinggit_00006.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00006.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
6,GunungRinggit_00007.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00007.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
7,GunungRinggit_00008.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00008.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
8,GunungRinggit_00009.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00009.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
9,GunungRinggit_00010.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00010.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
10,GunungRinggit_00011.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00011.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
11,GunungRinggit_00012.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00012.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
12,GunungRinggit_00013.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00013.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
13,GunungRinggit_00014.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00014.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
14,GunungRinggit_00015.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00015.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
15,GunungRinggit_00016.jpg,Batik_Lasem/motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00016.jpg,Gunung Ringgit,Gunung Ringgit,all_motifs (864),Gunung Ringgit Bouquet.jpg,Pesona Canting,2021,raw (crop),28 x 28,sRGB IEC61966-2.1,VJB
