path,subset,corrupt,width,height,pixels,filesize_kb,mean_r,mean_g,mean_b,brightness,contrast_std,metadata_blocks
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00001.jpg,28x28_images,False,28,28,784,18.6083984375,199.89923,192.77551,185.48215,192.71896,72.02225,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00002.jpg,28x28_images,False,28,28,784,11.861328125,214.1926,209.14796,207.76659,210.36905,61.291485,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00003.jpg,28x28_images,False,28,28,784,18.1259765625,207.24617,201.10715,203.07654,203.80995,62.896976,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00004.jpg,28x28_images,False,28,28,784,18.193359375,216.09439,209.88393,213.03827,213.00552,54.528355,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00005.jpg,28x28_images,False,28,28,784,18.24609375,208.78189,201.56505,209.04465,206.46387,55.304813,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00006.jpg,28x28_images,False,28,28,784,18.1044921875,219.38904,212.92984,216.42984,216.24957,48.36111,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00007.jpg,28x28_images,False,28,28,784,18.0634765625,200.17474,194.15944,196.71046,197.01488,67.56543,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00008.jpg,28x28_images,False,28,28,784,11.9716796875,191.05103,184.65178,182.95154,186.21811,74.65061,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00009.jpg,28x28_images,False,28,28,784,18.0771484375,209.22066,203.88138,204.99362,206.03189,61.68746,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00010.jpg,28x28_images,False,28,28,784,18.2080078125,195.02296,187.99617,186.33163,189.78358,71.58459,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00011.jpg,28x28_images,False,28,28,784,11.9462890625,206.4528,201.5676,206.20026,204.74022,59.788105,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00012.jpg,28x28_images,False,28,28,784,18.4228515625,219.03316,213.08801,215.79974,215.97363,54.04064,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00013.jpg,28x28_images,False,28,28,784,18.4755859375,198.19516,191.58035,192.40816,194.06122,69.676704,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00014.jpg,28x28_images,False,28,28,784,18.443359375,207.61096,199.90944,195.51021,201.01021,67.899025,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00015.jpg,28x28_images,False,28,28,784,12.3291015625,209.39668,203.26276,200.94005,204.53316,64.76073,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00016.jpg,28x28_images,False,28,28,784,18.46484375,216.32654,209.8954,212.47832,212.90009,55.231567,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00017.jpg,28x28_images,False,28,28,784,18.4755859375,213.82526,206.58801,211.9222,210.77849,58.696896,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00018.jpg,28x28_images,False,28,28,784,18.3818359375,213.8329,208.19005,215.76913,212.59737,55.48683,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00019.jpg,28x28_images,False,28,28,784,18.3740234375,217.90689,212.22704,215.59822,215.24405,56.229115,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00020.jpg,28x28_images,False,28,28,784,12.171875,219.75255,215.34822,219.97194,218.35757,53.1008,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00021.jpg,28x28_images,False,28,28,784,18.38671875,212.89668,205.45026,207.02168,208.4562,62.82609,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00022.jpg,28x28_images,False,28,28,784,18.3623046875,209.91582,203.36224,206.44388,206.57397,60.323368,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00023.jpg,28x28_images,False,28,28,784,18.4052734375,207.55103,199.52296,201.53699,202.87032,64.200554,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00024.jpg,28x28_images,False,28,28,784,18.390625,215.72577,208.40944,209.75128,211.29549,59.568436,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00025.jpg,28x28_images,False,28,28,784,18.60546875,209.50128,200.14668,206.5574,205.40178,55.95045,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00026.jpg,28x28_images,False,28,28,784,12.3974609375,210.15434,205.35204,208.97066,208.15901,53.212643,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00027.jpg,28x28_images,False,28,28,784,18.34375,196.63647,192.13266,194.65306,194.47406,64.2158,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00028.jpg,28x28_images,False,28,28,784,18.3720703125,198.1046,194.94643,197.25383,196.76828,63.43906,4
motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00029.jpg,28x28_images,False,28,28,784,12.068359375,177.21046,171.42729,171.64413,173.42729,72.04149,4
