origin_images,count
Batik Artisan with Seritan Background.jpg,697
Gunung Ringgit Bouquet.jpg,413
Phoenix and Lotus.jpg,400
Seaweed or latoh.jpg,328
Latohan and farmer.jpg,327
Latohan Dragon.jpg,317
Kawis With Pagi-Sore Kricak Background.jpg,290
Withering Teak in Blue.jpg,265
Isen Cloth 4.jpg,246
Isen Cloth 5.jpg,232
Isen Cloth 2.jpg,175
The Twelve Zodiacs with Red Tambal Background.jpg,170
Cranes with Bledak Background.jpg,166
Lawang Ombo Kilin Latar Bledak.jpg,144
Gunung Ringgit Peacocks.jpg,130
Artisan Latar Tanahan.jpg,120
Latohan with Chinese Letter.jpg,116
Isen Cloth 1.jpg,116
Gunung Ringgit Blue Bouquet.jpg,105
Isen Cloth 3.jpg,105
Phoenix in Purple.jpg,104
Fern with Bledak Background.jpg,99
Pagi-Sore Temple and Bamboo.jpg,96
Phoenix in Bright Green.jpg,89
Water Animals with Sekar Jagad Background.jpg,87
Monkey Pod Tree & Peacock with Lereng.jpg,81
Gunung Ringgit Pink Bouquet.jpg,66
Windmill with Tambal.jpg,63
Sekar Jagad Chinese Character.jpg,63
Withering Teak in Red.jpg,56
Latohan with chrysanthemum.jpg,47
King of the Jungle and Trees.jpg,29
Farmer and Fisherman with Latohan Background.jpg,25
Gunung Ringgit Kopi Lelet.jpg,24
Cap Go Meh with Pagi-Sore Background.jpg,17
Phoenix and Brown Lotus.jpg,17
"Temple, Lantern & Dragon with Bledak Background.jpg",16
Phoenix With Green Lotus.jpg,12
Fruits with Bledak Pasiran Background.jpg,7
