group_id,n,md5,files,datasets,handling
md5_02cb964ab9,2,02cb964ab9cea29da83f4e2d3e886ebd,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00033.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00033.jpg,Batik_Lasem,retain one canonical copy (B)
md5_0e01f5a576,2,0e01f5a5766ac01f2ff5dce1e6c891c6,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00008.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00008.jpg,Batik_Lasem,retain one canonical copy (B)
md5_0f4a799c25,2,0f4a799c25ba08a9e4d2c2a5fd91c382,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00024.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00024.jpg,Batik_Lasem,retain one canonical copy (B)
md5_19d72b61cc,2,19d72b61cc456e7f4a4cd32cad8c3797,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00038.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00038.jpg,Batik_Lasem,retain one canonical copy (B)
md5_2771f9a9ce,2,2771f9a9ce6a975324b821365358c976,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00034.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00034.jpg,Batik_Lasem,retain one canonical copy (B)
md5_350336163c,2,350336163cc326709eb4090d25ac9c54,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00037.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00037.jpg,Batik_Lasem,retain one canonical copy (B)
md5_3a8972cb45,2,3a8972cb456814c3fdd49cc322525c62,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00003.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00003.jpg,Batik_Lasem,retain one canonical copy (B)
md5_3ee29e42dc,2,3ee29e42dcb7a88f485db4afe67f01fe,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00039.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00039.jpg,Batik_Lasem,retain one canonical copy (B)
md5_3fb3acde5d,2,3fb3acde5d267ba978f4fb9edaa9ed8a,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00016.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00016.jpg,Batik_Lasem,retain one canonical copy (B)
md5_49d552fc0e,2,49d552fc0ed8c641fdd891c1f3db3a47,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00019.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00019.jpg,Batik_Lasem,retain one canonical copy (B)
md5_50d4d834ea,2,50d4d834ea9290ee20482a6591ba70a5,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00011.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00011.jpg,Batik_Lasem,retain one canonical copy (B)
md5_5294570f41,2,5294570f41af91c175bb189be52db67c,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00014.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00014.jpg,Batik_Lasem,retain one canonical copy (B)
md5_5b3724422a,2,5b3724422a4e390b445eda58a849c072,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00028.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00028.jpg,Batik_Lasem,retain one canonical copy (B)
md5_612300b6de,2,612300b6de39cdf3397b4354c76d3a84,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00031.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00031.jpg,Batik_Lasem,retain one canonical copy (B)
md5_6aa86e2830,2,6aa86e2830a721a26ab8d5bfd82225f9,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00004.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00004.jpg,Batik_Lasem,retain one canonical copy (B)
md5_6aba430aa7,2,6aba430aa741abe3ec2e4fec05d70ea0,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00027.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00027.jpg,Batik_Lasem,retain one canonical copy (B)
md5_7dde4af09c,2,7dde4af09caa359f705b375f1a9c0b5d,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00017.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00017.jpg,Batik_Lasem,retain one canonical copy (B)
md5_7f635a0ed2,2,7f635a0ed2719c5089987fcd5d03e6a2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00029.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00029.jpg,Batik_Lasem,retain one canonical copy (B)
md5_7fa4d77aee,2,7fa4d77aee130911793ebc65e069138c,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00043.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00043.jpg,Batik_Lasem,retain one canonical copy (B)
