,filesize_bytes,aspect_ratio,channels,metadata_blocks,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,brightness_std,contrast,mean_hue,std_hue,mean_saturation,mean_value,lab_L,lab_a,lab_b,gray_entropy,clip_low_frac,clip_high_frac,hue_entropy,colorfulness,sharpness_lapvar,edge_density,symmetry_h,symmetry_v,spatial_entropy,pattern_density,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniformity,gabor_mean,gabor_std,fft_highfreq_ratio
filesize_bytes,1.0,-0.05558335757054038,,-0.17170013031435544,-0.042190926853755986,-0.040581798147283674,-0.07385807177540507,-0.3433854653472883,-0.18504567546580694,-0.12819074268705327,-0.056728952897690116,-0.28820660133742604,-0.23452771361478877,-0.013468685945533262,-0.18230401048348172,0.03667896885873612,-0.0568762201311038,-0.03504290936141349,-0.02051382662972041,0.07866789434163302,0.21061264074820726,-0.017951118313116892,-0.4010224223365679,-0.036525623918584424,0.23963020701976215,-0.29962190841937947,-0.16768510864947045,0.20190250853323832,0.21369166059376837,0.17389024715545015,-0.16768510864947045,-0.3178098478044242,0.17347428135187642,-0.34396210284222134,0.17366107769071107,0.22387599805413003,-0.18732787234920023,-0.2666354683619909,-0.21565303339384886,0.10925344958976216
aspect_ratio,-0.05558335757054038,1.0,,0.03560611687501652,-0.054518533454578855,-0.06180421507281676,-0.05025552072666778,0.15944197467793486,0.17212514657685327,0.130871848235377,-0.05990265162501867,0.23434831820338142,0.16424772903455442,0.0995812276868074,0.03181442100381359,0.06326045035863034,-0.049421789795263675,-0.06396402693750369,0.04673697947145535,-0.008727474782395871,0.14352812012909877,0.006095863000907699,0.08944769567963644,0.08354395177156694,0.09076673250955504,0.09467716071567182,0.12089373594229924,-0.14994157006717937,-0.13123106453603833,0.06355736282797096,0.12089373594229924,0.09786803335891871,-0.11121572073595472,-0.066506146320423,-0.0543945109474705,-0.006194011758174678,-0.006096140912719829,0.10109661981005189,0.06274311578976449,-0.1412775994355869
channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metadata_blocks,-0.17170013031435544,0.03560611687501652,,1.0,0.698307858537022,0.8344472659966712,0.8163241805297906,0.772547941254466,0.8238418424504093,0.83050583425407,0.8496181881346314,0.4894738116267723,0.8422319636818187,-0.42803185592807014,0.4250648040512657,-0.7591351335720498,0.712363500415,0.832071576993083,-0.5883780659276862,-0.18846675617061673,0.514646687403354,-0.03754830270521636,0.8941866454282352,0.8789924313463061,-0.6711612354054786,0.8939501641621493,0.9193833785850711,-0.777389636747033,-0.8868634785590508,0.780232409253412,0.9193833785850711,0.9109531636841091,-0.9067134620433358,-0.3684914085410931,-0.8805805848594689,-0.6217613910090749,0.6580376334415838,0.9258008079218945,0.6961579388611085,0.7418546943588792
mean_r,-0.042190926853755986,-0.054518533454578855,,0.698307858537022,1.0,0.7760712715694742,0.6549612587834317,0.31081794769825893,0.5095333918235473,0.5324999324670476,0.8560004333421095,0.17931427873468786,0.5022612894574394,-0.3279892588814705,0.3011581235360079,-0.6635861515442412,0.8214879377679436,0.8694203622412913,-0.31868877586407085,0.27254767165963145,0.16976999501628254,0.03798389495678495,0.6266493162442086,0.6096472330912488,-0.6650281445173947,0.614178196593858,0.6338905260655627,-0.450947180561453,-0.5718277426737539,0.6021172768868458,0.6338905260655627,0.6124855647737584,-0.5751256237304962,-0.0787161176203453,-0.6612249399424195,-0.5943472416376706,0.5942146065997473,0.6283782835547125,0.4749622911121504,0.5488642694153998
mean_g,-0.040581798147283674,-0.06180421507281676,,0.8344472659966712,0.7760712715694742,1.0,0.9177306478965878,0.5391682275180784,0.5884703853297885,0.6871250648342,0.9769890999133588,0.12024681218115814,0.6154992476116591,-0.6517679772755032,0.17278233150687736,-0.9051885983827942,0.8075892111072417,0.9819886860602096,-0.7924703865824133,-0.14004737644341061,0.3765221359210836,0.046372288614896576,0.7346650277014057,0.8212818738314794,-0.8029815842743785,0.7264547201599485,0.7452395657033876,-0.5674258366963524,-0.691792939309756,0.6254881367216604,0.7452395657033876,0.7310130880604337,-0.7144467656892575,-0.32252073160149747,-0.7713781443257527,-0.5781268883171828,0.5952676963066486,0.7535704006027241,0.5509960820973329,0.6830738339099517
mean_b,-0.07385807177540507,-0.05025552072666778,,0.8163241805297906,0.6549612587834317,0.9177306478965878,1.0,0.5279914818324147,0.5870105626820923,0.7000942315664759,0.939165252912743,0.2513817196298758,0.6045566937727087,-0.4791710804267106,0.10590816273898536,-0.7495653308756367,0.8750777533244988,0.910909461219415,-0.6282633173417597,-0.4848727587531441,0.3544479916830862,0.0030157324324882042,0.7271506687811465,0.7923313150657628,-0.6037716185365918,0.721516461442894,0.7283442026668117,-0.5587892737166237,-0.6810931453920575,0.5893319039448539,0.7283442026668117,0.7234409390350462,-0.6954117965676178,-0.29677881404173073,-0.7771368385456974,-0.5226861876737421,0.5457505109768911,0.7446648110078385,0.5460343968337601,0.6708942142391456
std_r,-0.3433854653472883,0.15944197467793486,,0.772547941254466,0.31081794769825893,0.5391682275180784,0.5279914818324147,1.0,0.8760136617709371,0.8445900011011148,0.5070001602141158,0.7364135424654442,0.9196134166007054,-0.37246211461807904,0.5198112082782245,-0.5312097608537322,0.3564001189853864,0.48796404875068966,-0.497615957570515,-0.21360160628768368,0.6337332665360913,-0.008313982720316682,0.8239156034733952,0.7311040654755966,-0.48229599822894303,0.8246047201887707,0.818415872858235,-0.8325446300343122,-0.8844780476779605,0.5199892872402007,0.818415872858235,0.8643435767508549,-0.8604567760503129,-0.41127356819759736,-0.665101145264097,-0.46005574239986735,0.46111780645776096,0.8578453594592034,0.6603324413950113,0.43254523018147856
std_g,-0.18504567546580694,0.17212514657685327,,0.8238418424504093,0.5095333918235473,0.5884703853297885,0.5870105626820923,0.8760136617709371,1.0,0.9287494918278728,0.6085853721985556,0.74877557164172,0.99319362499879,-0.3021855117387411,0.5570887807734861,-0.5697282264133968,0.48094773709455113,0.5880061468341587,-0.4106925136667343,-0.14054005506365191,0.5879291612893233,-0.028044330814047853,0.8309576687199661,0.7741006042513658,-0.4679993911185285,0.8576233508934008,0.8488724299652275,-0.8598581042164005,-0.9416762299042418,0.610998836387535,0.8488724299652275,0.8884022391258616,-0.8650948892239098,-0.3084540971458626,-0.6995630645123062,-0.5365123285836072,0.5386153365175781,0.8870794093764965,0.6892082275920393,0.46910706702597177
std_b,-0.12819074268705327,0.130871848235377,,0.83050583425407,0.5324999324670476,0.6871250648342,0.7000942315664759,0.8445900011011148,0.9287494918278728,1.0,0.6974080990082214,0.7240832814620038,0.940129421114963,-0.40030119023975785,0.3808722287520262,-0.6003477846324714,0.6015937351257569,0.6808526271446105,-0.49072498487447386,-0.2265580103755215,0.5957730935344319,-0.011938686604422028,0.8237821384633628,0.7717721332865947,-0.5088077387536788,0.8402643749532667,0.8426680173688501,-0.8019395435746421,-0.9123922875181043,0.6038571811924257,0.8426680173688501,0.8725454350337107,-0.8650732501309142,-0.36203112997069004,-0.7055238889603705,-0.5376426758791008,0.5386159396499282,0.8745439228587626,0.6708142736822398,0.518201303430629
