group_id,dataset,n,files,same_source,handling
Batik_Lasem_nd_0,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00043.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00043.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_1,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00001.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00001.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_2,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00042.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00042.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_3,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00002.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00002.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_4,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00044.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00044.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_5,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00003.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00003.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_7,Batik_Lasem,4,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00004.jpg | motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00016.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00004.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00016.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_9,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00005.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00005.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_10,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00006.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00006.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_11,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00007.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00007.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_12,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00008.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00008.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_13,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00009.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00009.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_14,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00010.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00010.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_15,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00011.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00011.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_16,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00012.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00012.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_17,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00013.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00013.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_18,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00014.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00014.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_19,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00015.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00015.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_21,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00017.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00017.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_22,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00018.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00018.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_23,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00019.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00019.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_24,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00020.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00020.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_25,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00021.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00021.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_26,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00022.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00022.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_27,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00023.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00023.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_28,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00024.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00024.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_29,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00025.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00025.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_30,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00026.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00026.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_31,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00027.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00027.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_32,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00028.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00028.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_33,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00029.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00029.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_34,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00030.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00030.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_35,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00031.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00031.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_36,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00032.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00032.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_37,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00033.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00033.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_38,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00034.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00034.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_39,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00035.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00035.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_40,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00036.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00036.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_41,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00037.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00037.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_42,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00038.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00038.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_43,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00039.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00039.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_44,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00040.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00040.jpg,True,treat as source-linked views (C)
Batik_Lasem_nd_45,Batik_Lasem,2,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00041.jpg | motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00041.jpg,True,treat as source-linked views (C)
