dataset,width,height,count
Batik_Lasem,28,28,94
NeuralLoom,454,454,1
NeuralLoom,493,493,2
NeuralLoom,493,494,1
NeuralLoom,494,493,2
NeuralLoom,553,553,3
NeuralLoom,581,581,2
NeuralLoom,581,582,1
NeuralLoom,582,581,1
NeuralLoom,582,582,1
NeuralLoom,598,598,5
NeuralLoom,610,610,5
NeuralLoom,629,629,4
NeuralLoom,630,630,1
NeuralLoom,662,662,5
NeuralLoom,942,941,1
NeuralLoom,971,971,1
NeuralLoom,987,986,1
NeuralLoom,1106,1106,1
NeuralLoom,1134,1134,1
NeuralLoom,1163,1163,1
NeuralLoom,1179,1178,2
NeuralLoom,1196,1196,1
NeuralLoom,1220,1220,1
NeuralLoom,1258,1258,1
NeuralLoom,1263,1263,1
NeuralLoom,1282,1282,1
NeuralLoom,1283,1282,1
NeuralLoom,1312,1311,1
NeuralLoom,1324,1324,1
NeuralLoom,1328,1771,1
NeuralLoom,1416,1415,1
NeuralLoom,1460,1460,1
NeuralLoom,1749,1749,1
NeuralLoom,1786,1786,1
NeuralLoom,1816,1815,1
NeuralLoom,1838,1838,1
NeuralLoom,1971,1971,1
NeuralLoom,2171,2171,1
NeuralLoom,2371,2371,1
NeuralLoom,2519,2519,1
NeuralLoom,2571,2572,1
NeuralLoom,2735,2734,1
NeuralLoom,2751,2752,1
NeuralLoom,3023,3024,2
