dataset,rel_path,semantic_group,representation,motif_class,source_id,role,width,height,md5
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00043.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,7fa4d77aee130911793ebc65e069138c
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00001.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,c1cdd31a5a89e366fb4c00fbbd003e60
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00042.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,e26d5f7978c93083b883fc71bccdb999
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00002.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,fa59878781372bd3a5bc068179f15034
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00044.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,fd2ea85fddc3117c83c4ac121ffd735b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00003.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,3a8972cb456814c3fdd49cc322525c62
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00045.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,67dd05d47973fe8dcc32d365bd917f1f
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00004.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,6aa86e2830a721a26ab8d5bfd82225f9
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00050.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,8ee36db6957f433c582247fdc97e68e0
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00005.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,e183883f6e848aa35d68f07707b7388b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00006.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,bbf6173dea81adf145f551e9252ca1b5
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00007.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,c35f1e8b6f890a95dac5d4c58dca2f56
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00008.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,0e01f5a5766ac01f2ff5dce1e6c891c6
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00009.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,92de9c4e5dcdfc6ac1df5e52b43d166b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00010.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,9daff2d44981970253ca8511422421b3
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00011.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,50d4d834ea9290ee20482a6591ba70a5
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00012.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,b914adcec5534525d8d3bde111064e8c
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00013.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,a3bede3118149fbdf971f2fa5ce95a4e
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00014.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,5294570f41af91c175bb189be52db67c
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00015.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,b8643b0765bfeedaf609a63a4db8d857
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00016.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,3fb3acde5d267ba978f4fb9edaa9ed8a
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00017.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,7dde4af09caa359f705b375f1a9c0b5d
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00018.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,f5666fb0c56aeb38580ab838752f5689
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00019.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,49d552fc0ed8c641fdd891c1f3db3a47
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00020.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,cc76514c72e2ba68fb39cafa19ac0d29
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00021.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,c951decb4a5543e196b5265ea152386d
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00022.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,cbcd357bbe823f5977210f6ab95c822b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00023.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,f7f9c78e509f9dbf16fafed2c70a50a6
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00024.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,0f4a799c25ba08a9e4d2c2a5fd91c382
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00025.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,a93c13140381f1fa04faa0f1dc4096ce
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00026.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,f60fbb91d33c44a6b19bf8889bd53d56
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00027.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,6aba430aa741abe3ec2e4fec05d70ea0
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00028.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,5b3724422a4e390b445eda58a849c072
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00029.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,7f635a0ed2719c5089987fcd5d03e6a2
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00030.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,c34c73344c0344c044e247cc6a99f231
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00031.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,612300b6de39cdf3397b4354c76d3a84
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00032.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,d039482c7d67cda8c0d53cf78a0979a7
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00033.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,02cb964ab9cea29da83f4e2d3e886ebd
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00034.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,2771f9a9ce6a975324b821365358c976
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00035.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,f3edcec64b0eb244a909e08ad2756e23
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00036.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,fd437dd4f634c6b588d990781a9af016
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00037.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,350336163cc326709eb4090d25ac9c54
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00038.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,19d72b61cc456e7f4a4cd32cad8c3797
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00039.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,3ee29e42dcb7a88f485db4afe67f01fe
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00040.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,b2a3e5e8bbb667346b6a0f7d9fce9f8b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00041.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,ffa91262d386afb27fb70f271832d8e0
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00046.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,3af2bc7547be9bcaf2f040b1019d8b0c
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00047.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,4bd158058ad2ddc03a45273958423a4e
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00048.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,f0ec5f9931de54a0767ec859bc3908a1
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00049.jpg,Gunung Ringgit,28x28_images,Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,cde07a763e916df47342dfa05dd398cd
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00043.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,7fa4d77aee130911793ebc65e069138c
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00001.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,c1cdd31a5a89e366fb4c00fbbd003e60
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00042.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,e26d5f7978c93083b883fc71bccdb999
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00002.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,fa59878781372bd3a5bc068179f15034
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00044.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Peacocks.jpg,crop,28,28,fd2ea85fddc3117c83c4ac121ffd735b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00003.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,3a8972cb456814c3fdd49cc322525c62
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00004.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,6aa86e2830a721a26ab8d5bfd82225f9
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00005.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,e183883f6e848aa35d68f07707b7388b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00006.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,bbf6173dea81adf145f551e9252ca1b5
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00007.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,c35f1e8b6f890a95dac5d4c58dca2f56
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00008.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,0e01f5a5766ac01f2ff5dce1e6c891c6
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00009.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,92de9c4e5dcdfc6ac1df5e52b43d166b
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00010.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,9daff2d44981970253ca8511422421b3
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00011.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,50d4d834ea9290ee20482a6591ba70a5
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/all_motifs (864)/GunungRinggit_00012.jpg,Gunung Ringgit,all_motifs (864),Gunung Ringgit,Gunung Ringgit Bouquet.jpg,crop,28,28,b914adcec5534525d8d3bde111064e8c
